7.441971,3
7.699913,1
7.983716,2
8.250744,0
8.568546,4
9.671974,3
10.8919,1
11.92709,2
13.07854,0
14.24793,4
15.38391,1
16.5212,3
17.67473,0
18.8614,2
19.96495,1
21.20167,3
22.27082,1
23.4732,2
24.60828,3
25.72844,1
26.86472,3
28.20272,6
29.13823,5
30.29002,3
31.4262,1
32.54466,2
33.69783,0
34.78422,4
35.95372,3
37.072,6
38.24019,2
39.34336,0
40.54736,3
41.75174,1
42.80447,4
43.88989,0
44.24085,1
44.54094,2
44.85823,3
45.17584,4
46.2943,3
47.36556,1
48.51932,2
49.15391,0
49.75508,1
50.85721,2
51.96001,1
53.19574,3
53.74655,0
54.31455,2
54.84915,6
55.46767,1
56.05252,2
56.62052,0
57.17199,3
57.75632,6
58.2906,5
60.0451,0
61.09767,2
62.28444,1
62.85218,3
63.43668,0
63.97149,5
64.58936,3
65.15751,0
65.725,2
66.2933,1
66.87798,4
67.39558,3
67.94686,2
68.53339,1
69.10189,0
69.73693,2
70.28857,1
70.83969,3
71.4404,3
72.0075,2
72.52493,1
73.12634,0
73.69382,2
74.27869,3
74.84647,4
75.98567,3
76.53828,2
77.15645,0
78.27588,1
78.85977,3
79.37687,0
79.96172,4
80.47965,0
80.78077,1
81.09785,2
81.39876,3
81.69888,4
